TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
201001010030,-9999,1.3703,-9999,6.41,-2.02,-9999,-9999
201001010100,-9999,1.30234,-9999,6.35,-2.02,-9999,-9999
201001010130,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010200,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010230,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010300,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010330,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010400,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010430,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010500,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010530,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010600,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010630,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010700,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010730,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010800,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010830,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001010900,-9999,1.53895,-9999,7.44,68.9,-9999,-9999
201001010930,-9999,1.62057,-9999,7.78,-9999,-9999,-9999
201001011000,-9999,1.70392,-9999,8.11,-9999,-9999,-9999
201001011030,-9999,1.79132,-9999,8.45,121.66,-9999,-9999
201001011100,-9999,2.08963,-9999,9.07,245.95,-9999,-9999
201001011130,-9999,2.49776,-9999,9.57,137.64,-9999,-9999
201001011200,-9999,2.55148,-9999,9.83,83.01,-9999,-9999
201001011230,-9999,2.85937,-9999,10.33,115.99,-9999,-9999
201001011300,-9999,3.22971,-9999,10.9,119.54,-9999,-9999
201001011330,-9999,3.80729,-9999,11.51,170.5,-9999,-9999
201001011400,-9999,4.00302,-9999,11.89,307.23,-9999,-9999
201001011430,-9999,4.44187,-9999,12.32,326.41,-9999,-9999
201001011500,-9999,4.622,-9999,12.59,301.48,-9999,-9999
201001011530,-9999,5.03657,-9999,12.89,236.76,-9999,-9999
201001011600,-9999,4.9876,-9999,12.66,171.06,-9999,-9999
201001011630,-9999,4.61699,-9999,12.43,93.47,-9999,-9999
201001011700,-9999,4.30521,-9999,11.88,29.48,-9999,-9999
201001011730,-9999,3.77865,-9999,11.14,2.09,-9999,-9999
201001011800,-9999,3.43762,-9999,10.62,-2.02,-9999,-9999
201001011830,-9999,3.57018,-9999,10.42,-2.02,-9999,-9999
201001011900,-9999,2.88231,-9999,9.51,-2.02,-9999,-9999
201001011930,-9999,2.38978,-9999,8.83,-2.02,-9999,-9999
201001012000,-9999,2.32332,-9999,8.79,-2.02,-9999,-9999
201001012030,-9999,2.13924,-9999,8.63,-1.68,-9999,-9999
201001012100,-9999,2.13345,-9999,8.59,-2.02,-9999,-9999
201001012130,-9999,1.89624,-9999,8.21,-2.03,-9999,-9999
201001012200,-9999,1.80894,-9999,8.12,-2.02,-9999,-9999
201001012230,-9999,1.41338,-9999,7.37,-2.05,-9999,-9999
201001012300,-9999,1.32546,-9999,7.24,-2.02,-9999,-9999
201001012330,-9999,0.857956,-9999,6.9,-2.02,-9999,-9999
201001020000,-9999,0.759808,-9999,6.55,-9999,-9999,-9999
201001020030,-9999,0.66626,-9999,6.21,-9999,-9999,-9999
201001020100,-9999,0.576205,-9999,5.86,-2.02,-9999,-9999
201001020130,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020200,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020230,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020300,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020330,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020400,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020430,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020500,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020530,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020600,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020630,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020700,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020730,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020800,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020830,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020900,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001020930,-9999,0.86629,-9999,6.43,42.64,-9999,-9999
201001021000,-9999,1.10718,-9999,6.84,67.16,-9999,-9999
201001021030,-9999,1.13094,-9999,7.11,-9999,-9999,-9999
201001021100,-9999,1.15435,-9999,7.37,165.8,-9999,-9999
201001021130,-9999,1.27418,-9999,7.98,224.73,-9999,-9999
201001021200,-9999,1.47178,-9999,8.53,261.01,-9999,-9999
201001021230,-9999,1.51398,-9999,8.66,247.55,-9999,-9999
201001021300,-9999,1.65371,-9999,9,209.13,-9999,-9999
201001021330,-9999,1.75436,-9999,9.35,218.77,-9999,-9999
201001021400,-9999,2.46331,-9999,10.55,364.48,-9999,-9999
201001021430,-9999,2.70714,-9999,10.91,286.73,-9999,-9999
201001021500,-9999,2.45577,-9999,10.66,240.62,-9999,-9999
201001021530,-9999,2.55821,-9999,10.94,210.28,-9999,-9999
201001021600,-9999,2.84807,-9999,11.28,164.77,-9999,-9999
201001021630,-9999,2.63453,-9999,11.01,87.24,-9999,-9999
201001021700,-9999,1.96949,-9999,10.21,26,-9999,-9999
201001021730,-9999,1.66208,-9999,9.75,2.19,-9999,-9999
201001021800,-9999,1.52072,-9999,9.55,-1.99,-9999,-9999
201001021830,-9999,1.37624,-9999,9.33,-2,-9999,-9999
201001021900,-9999,1.22573,-9999,9.13,-1.99,-9999,-9999
